"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Memphis Ride Through Daytona (Vibe)","QT3F32617496","883086547122","9","100","Song","US","0.00000","0.033123345266",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Low Country Ride Through","QT3F32617495","883086547122","6","100","Song","US","0.00000","0.022082230177",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Gate 40 (King of Baggers)","QT3F32617494","883086547122","7","100","Song","US","0.00000","0.025762601873",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","3 Wheels Back to the Speedway","QT3F32617493","883086547122","9","100","Song","US","0.00000","0.033123345266",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Main Street (Trike FLEX Full Ride)","QT3F32617492","883086547122","12","100","Song","US","0.00000","0.044164460354",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Main Street (Trike FLEX Low Country)","QT3F32617491","883086547122","14","100","Song","US","0.00000","0.051525203747",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Daytona, FL Sunrise Swagger (Instru)","QT3F32617490","883086547122","9","100","Song","US","0.00000","0.033123345266",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","FINAL LEG (A1A to Renaissance) Ext","QT3F32617489","883086547122","9","100","Song","US","0.00000","0.033123345266",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","FINAL LEG (A1A to Renaissance Hotel)","QT3F32617488","883086547122","10","100","Song","US","0.00000","0.036803716962",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","H-D LEGACY (Let’Em Ride)","QT3F32617487","883086547122","18","100","Song","US","0.00000","0.066246690532",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","ROAD GLIDE LEGACY (Duval to Daytona) rm","QT3F32617486","883086547122","11","100","Song","US","0.00000","0.040484088658",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","East Coast (INSTR)","QT3F32617485","883086547122","9","100","Song","US","0.00000","0.033123345266",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Let 'Em Ride (NYC Vibe)","QT3F32617484","883086547122","10","100","Song","US","0.00000","0.036803716962",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Let 'Em Ride (Vibe)","QT3F32617483","883086547122","14","100","Song","US","0.00000","0.051525203747",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","JEKYLL Isle to DAYTONA","QT3F32617482","883086547122","14","100","Song","US","0.00000","0.051525203747",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Coast Line Run","QT3F32617481","883086547122","13","100","Song","US","0.00000","0.047844832051",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","RIDE WIT ME","QT3F32617480","883086547122","14","100","Song","US","0.00000","0.051525203747",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","99 North to 95 South","QT3F32617479","883086547122","14","100","Song","US","0.00000","0.051525203747",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Cables & Causeway","QT3F32617478","883086547122","16","100","Song","US","0.00000","0.058885947139",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","So We Glide Chant","QT3F32617477","883086547122","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","We Outside (So We Glide)","QT3F32617476","883086547122","19","100","Song","US","0.00000","0.069927062228",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Pick Your Ride chant","QT3F32617475","883086547122","18","100","Song","US","0.00000","0.066246690532",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","We Outside Chant","QT3F32617474","883086547122","20","100","Song","US","0.00000","0.073607433924",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Gliding At 4AM","QT3F32617473","883086547122","14","100","Song","US","0.00000","0.051525203747",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Chill N Glide","QT3F32617472","883086547122","20","100","Song","US","0.00000","0.073607433924",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","We Pulling Up","QT3F32617471","883086547122","20","100","Song","US","0.00000","0.073607433924",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","LOW COUNTRY RIDERS","QT3F32617470","883086547122","19","100","Song","US","0.00000","0.069927062228",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Under The Load I-35 Harley Run","QT3F32608457","883086604993","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Under The Load Harley Run","QT3F32608456","883086604993","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Tech Deep Dive","QT3F32608455","883086604993","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Pressure On The Slab","QT3F32608454","883086604993","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Move Under The Load Vibe 2","QT3F32608453","883086604993","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","I-35 Harley RUN On Twos","QT3F32608452","883086604993","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","i 35 S Temple to Round Rock","QT3F32608451","883086604993","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Horny T Monotony","QT3F32608450","883086604993","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY","QT6G72590259","199939291976","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally LONE STAR NIGHT RIDING","QT6G72590258","199939291976","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally THE STRAND (NIGHT) + FRIDAY RIDE","QT6G72590257","199939291976","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally THE SET MEET UP (7 DAYS CITGO) v6","QT6G72590256","199939291976","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally THE SET -MEET UP at 7 DAYS CITGO v3","QT6G72590255","199939291976","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally PIER 21 v1","QT6G72590254","199939291976","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally PIER 21 v2","QT6G72590253","199939291976","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally SEAWALL BLVD v2","QT6G72590252","199939291976","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally Day 2 Headley Park Country v1","QT6G72590251","199939291976","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Lone Star Rally Instrument v2","QT6G72590250","199939291976","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","24 Hours In The Zone Drill v6","QT6FK2548237","199944510901","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","24 Hours In The Zone Anthem Trap v4","QT6FK2548235","199944510901","2","100","Song","US","0.00000","0.007360743392",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","24 Hours In The Zone Early Classic Trap v2","QT6FK2548233","199944510901","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","24 Hours In The Zone v1 (TX Country Rap Version)","QT6FK2550455","199944510925","1","100","Song","US","0.00000","0.003680371696",
"2026-07-13","2026-07-13","2026-03","NetEase","T. Work/The Workman Experience","Lone Star Rally Closing Out the Night v14","QZFZ32678225","199934966992","1","100","Song","US","0.00000","0.000484210648",
"2026-07-10","2026-07-10","2026-05","Tidal","T. Work/The Workman Experience","24 Hours In The Zone Anthem Trap v4","QT6FK2548235","199944510901","2","100","Song","US","0.00000","0.023120974425",
"2026-06-24","2026-06-24","2026-05","YouTube (Ads) - Composition","T. Work/The Workman Experience","LONE STAR RALLY DAY 1 Hip Hop Indie","QT6FY2597922","199942850061","8","100","Song","US","0.00000","0.010347621725",
"2026-06-24","2026-06-24","2026-05","YouTube (Ads) - Composition","T. Work/The Workman Experience","Lone Star Rally INTRO HYPE COUNTRY","QT6FY2597921","199942850061","8","100","Song","US","0.00000","0.010347621725",
"2026-06-24","2026-06-24","2026-05","YouTube (Ads) - Composition","T. Work/The Workman Experience","Lone Star Rally Country Anthem (Travel Anthem with Southern Rally Energy)","QT6FY2597920","199942850061","8","100","Song","US","0.00000","0.010347621725",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY copy 2","QT6G72590261","199939291976","4","100","Song","US","0.00000","0.002708023618",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY copy 2","QT6G72590261","199939291976","1","100","Song","IN","0.00000","0.000019539604",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY copy 2","QT6G72590261","199939291976","1","100","Song","ID","0.00000","0.000046072891",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY copy","QT6G72590260","199939291976","4","100","Song","US","0.00000","0.002708023618",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY copy","QT6G72590260","199939291976","1","100","Song","IN","0.00000","0.000019539604",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY copy","QT6G72590260","199939291976","1","100","Song","ID","0.00000","0.000046072891",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY","QT6G72590259","199939291976","4","100","Song","US","0.00000","0.002708023618",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY","QT6G72590259","199939291976","1","100","Song","IN","0.00000","0.000019539604",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally HARD RIDERS MC — FRIDAY NIGHT PARTY","QT6G72590259","199939291976","1","100","Song","ID","0.00000","0.000046072891",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally LONE STAR NIGHT RIDING","QT6G72590258","199939291976","4","100","Song","US","0.00000","0.002708023618",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally LONE STAR NIGHT RIDING","QT6G72590258","199939291976","1","100","Song","IN","0.00000","0.000019539604",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally LONE STAR NIGHT RIDING","QT6G72590258","199939291976","1","100","Song","ID","0.00000","0.000046072891",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally THE STRAND (NIGHT) + FRIDAY RIDE","QT6G72590257","199939291976","4","100","Song","US","0.00000","0.002708023618",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally THE STRAND (NIGHT) + FRIDAY RIDE","QT6G72590257","199939291976","1","100","Song","IN","0.00000","0.000019539604",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally THE STRAND (NIGHT) + FRIDAY RIDE","QT6G72590257","199939291976","1","100","Song","ID","0.00000","0.000046072891",
"2026-06-24","2026-06-24","2026-05","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally THE SET MEET UP (7 DAYS CITGO) v6","QT6G72590256","199939291976","4","100","Song","US","0.00000","0.002708023618",
